Image_ID,True_Label,Predicted_Label
c9e52008f0c516b0,Normal,Normal
9efca19935117d1c,Normal,Normal
d0989c3b9fb41d88,Normal,Normal
2f255b2af134011b,Normal,Normal
4af0bd18dd48a861,Normal,Normal
1af6e35161bae244,Normal,Normal
592e726a16e357ac,Normal,Normal
d12080606516f73b,Normal,Bacteriana
d81a92973259678c,Normal,Bacteriana
06a794552433fcfb,Normal,Normal
0c2f97fe6eb39dd0,Normal,Normal
758992b01cdb5e3b,Normal,Normal
e3f51b9d25d0f841,Normal,Normal
1bbc68e35226518e,Normal,Normal
9b3426072ac08885,Normal,Normal
eb2f2e6b7ce1945e,Normal,Normal
b5735c90e72fd3d3,Normal,Normal
9efe902944439236,Normal,Normal
de6789e15535fc64,Normal,Normal
dd979894a66a3c6a,Normal,Normal
a3e561b415f69738,Normal,Normal
18cf37ff9de36e45,Normal,Normal
b19a4845c1bf8383,Normal,Normal
a90a159a44a0110d,Normal,Normal
49efb922ff8d92af,Normal,Normal
a7dc50cb417046f3,Normal,Normal
32c579818d034113,Normal,Normal
3ec23c12f2f8e935,Normal,Normal
4b6a9287d1a44bda,Normal,Normal
ee51f836c9150004,Normal,Normal
ff6f38a57f7f5fef,Normal,Normal
507d4761836f4afc,Normal,Normal
567310b0f8882253,Normal,Normal
5dc86a007cb7c3d7,Normal,Normal
1c1b9304ff62ba3b,Normal,Normal
cb986adde6b698d0,Normal,Normal
8826b5756f44e1d6,Normal,Normal
ee375e0d2b63130c,Normal,Normal
2e135588bb2fab2d,Normal,Normal
31afeb2033f121c4,Normal,Normal
8ae8feb311878285,Normal,Normal
634e187eefeb5bed,Normal,Normal
d2d61bbf060a7051,Normal,Normal
38010314f02a54c0,Normal,Normal
d84216463da2cf9e,Normal,Normal
060c1f15325c7ecf,Normal,Normal
2400c976fedab31f,Normal,Normal
e4aa6b17190a45ec,Normal,Normal
2cc50d13540acca7,Normal,Normal
16e6bc58bb7a40e3,Normal,Normal
f6aea7cbc440630f,Normal,Normal
6dc292edb64bfc76,Normal,Normal
08c5a83074271b54,Normal,Normal
107f21423c217f87,Normal,Normal
7e6c793ba999e64e,Normal,Normal
a723ce62055c029c,Normal,Normal
9faa84da9e48660a,Normal,Normal
3d0726db31bf6d53,Normal,Normal
8caa8916c4125eb0,Normal,Normal
3f17274981dbafaf,Normal,Normal
5283dffd4ca7801c,Normal,Normal
154c82e4bb59c2df,Normal,Normal
30d6cf9fec812ba5,Normal,Normal
f60c94c586eb532d,Normal,Normal
d1c3eb402a22dde2,Normal,Normal
0c8afad7ae0d3d38,Normal,Normal
30ca90365c0e14ca,Normal,Normal
b89caf8c73705ea9,Normal,Normal
e56a50024e639b77,Normal,Normal
736e6bab4d265669,Normal,Normal
8732d8dc2afca75f,Normal,Normal
7c5e83d1db812647,Normal,Normal
7064540a97010c52,Normal,Normal
9b9299380a4a1f76,Normal,Normal
a2e8d3d6d178de1e,Normal,Normal
3e88f860de0fc0de,Normal,Normal
c8914dbee220da46,Normal,Normal
4a791bdb067f2999,Normal,Normal
023deb737819e1d0,Normal,Normal
bb8c2b0d4133ee2a,Normal,Normal
cfc5df722639204d,Normal,Normal
b109430189d55000,Normal,Normal
0ed882968fb9698c,Normal,Normal
0b6bbe03349f93c3,Normal,Normal
00035cd60721eb61,Normal,Normal
744ba0c5eca2ea9c,Normal,Normal
bfdae9f8d4239d57,Normal,Normal
b9f02a9f9a80a269,Normal,Normal
24318e84ca545bde,Normal,Normal
5860ed93fe85aaa1,Normal,Normal
fb802468ab96da0c,Normal,Normal
2b772e2d92d0e60f,Normal,Normal
a4b2e4c12589a0aa,Normal,Normal
21c78f5f01da0763,Normal,Normal
0f7ef56901b30e3d,Normal,Normal
09caf41c23eb58a2,Normal,Normal
7c9b3a175d79b986,Normal,Normal
5e13f110e383cef3,Normal,Normal
30763b1755949e1d,Normal,Normal
a14f2aa73ba6d1d4,Normal,Normal
99c8dc9c7a1c0ffc,Normal,Normal
16baf8b669e2994d,Normal,Normal
de7194c0733e5a9d,Normal,Normal
d3754a02b44fd5e7,Normal,Normal
f4fa4253920f1cc9,Normal,Normal
b3456d87f15af3f1,Normal,Normal
23733326511186dc,Normal,Normal
35d7580ef143ee50,Normal,Normal
5a067244e83fc281,Normal,Normal
73bed90498c65242,Normal,Normal
df023a2dbab472bd,Normal,Normal
4907f79672ed5a6d,Normal,Normal
b1a40325639046cd,Normal,Normal
5d94e610f4221786,Normal,Normal
096b0bb62e266cc9,Normal,Normal
647cf35b165fc577,Normal,Normal
6ac0cc10e5aca966,Normal,Normal
5e1c17e29cf48c6e,Normal,Normal
3425b181cb83e377,Normal,Normal
60780af04e2e74c3,Normal,Normal
95f24317e3004b96,Normal,Normal
05c43a14d96f0ff7,Normal,Normal
3fa41d96166e96cf,Normal,Normal
c7e2ed2d16092d80,Normal,Normal
ef14fd207912ecf5,Normal,Normal
b7c81af5116b0658,Normal,Normal
a5165b176bba1d81,Normal,Normal
42d3e6c67c86718f,Normal,Normal
d03b17f644b6cb2a,Normal,Normal
4ba1db30b71920fd,Normal,Normal
ee8d0b3647613f19,Normal,Normal
d9d389ac23fc956b,Normal,Normal
732245b3f2506a99,Normal,Normal
ccad198dd6ee3c58,Normal,Normal
74f846cbbd32afdb,Normal,Bacteriana
9917a38f67c20149,Normal,Normal
4b9967a8755063b4,Normal,Normal
97ef19fe6b1288d6,Normal,Normal
783e558f4145b924,Normal,Normal
